NEES: 2,522364; o^2: 10; R: 10 100
NEES: 2,511549; o^2: 10; R: 10 100
NEES: 2,213003; o^2: 10; R: 10 100
NEES: 1,634294; o^2: 20; R: 10 100
NEES: 1,019406; o^2: 20; R: 10 100
NEES: 1,807334; o^2: 20; R: 10 100
NEES: 1,823355; o^2: 20; R: 10 100
NEES: 1,832094; o^2: 20; R: 10 100
NEES: 1,392166; o^2: 20; R: 10 100
NEES: 1,701522; o^2: 20; R: 10 100
NEES: 1,624625; o^2: 20; R: 10 100
NEES: 1,761649; o^2: 20; R: 10 100
NEES: 1,60771; o^2: 20; R: 10 100
NEES: 1,376444; o^2: 20; R: 10 100
NEES: 1,125456; o^2: 20; R: 10 100
NEES: 2,172623; o^2: 10; R: 10 100
NEES: 1,990408; o^2: 10; R: 10 100
NEES: 2,01345; o^2: 10; R: 10 100
NEES: 2,519334; o^2: 10; R: 1 10
NEES: 2,295023; o^2: 10; R: 2 20
NEES: 15,36524; o^2: 1; R: 2 20
NEES: 1,268067; o^2: 20; R: 2 20
NEES: NaN; o^2: 20; R: 2 20
NEES: 0,1435305; o^2: 20; R: 2 20
NEES: NaN; o^2: 20; R: 2 20
NEES: 0,1225563; o^2: 20; R: 2 20
NEES: 1,213686; o^2: 20; R: 2 20
NEES: 1,03618; o^2: 20; R: 2 20
NEES: 1,219189; o^2: 20; R: 2 20
NEES: 1,057088; o^2: 20; R: 2 20
NEES: 1,053138; o^2: 20; R: 2 20
NEES: 1,045834; o^2: 20; R: 2 20
NEES: 1,045823; o^2: 20; R: 2 20
NEES: 1,052917; o^2: 20; R: 2 20
NEES: 1,027619; o^2: 20; R: 2 20
