Time;Frame;GroundTruth x;GroundTruth y;GroundTruth v_x;GroundTruth v_y;Measurement x;Measurement y;Kalman x;Kalman y;Kalman v_x;Kalman v_y;KalmanP x;KalmanP y
25,16195;4;-0,3300689;0,08153901;-0,9679943;0,2509657;-0,05336552;-0,3085724;-0,05336552;-0,3085724;0;0;100;100
25,17182;4;-0,3494221;0,08658397;-0,9676605;0,252248;0;0;-0,05336552;-0,3085724;0;0;2,912625;23,07714
25,17214;4;-0,3687688;0,0916541;-0,9673357;0,2535064;0;0;-0,05336552;-0,3085724;0;0;2,916864;23,08299
25,17237;4;-0,388109;0,09674894;-0,9670094;0,2547421;0;0;-0,05336552;-0,3085724;0;0;2,929121;23,09686
25,17261;4;-0,4074427;0,101868;-0,9666845;0,2559532;0;0;-0,05336552;-0,3085724;0;0;2,949408;23,11876
25,17282;4;-0,4267702;0,107011;-0,9663761;0,2571497;0;0;-0,05336552;-0,3085724;0;0;2,977732;23,1487
25,17303;4;-0,4460914;0,1121773;-0,9660602;0,258315;0;0;-0,05336552;-0,3085724;0;0;3,014105;23,18669
25,17327;4;-0,4654064;0,1173667;-0,9657487;0,2594702;0;0;-0,05336552;-0,3085724;0;0;3,058534;23,23273
25,1735;4;-0,4847154;0,1225786;-0,9654507;0,2605949;0;0;-0,05336552;-0,3085724;0;0;3,11103;23,28684
25,17369;4;-0,5040184;0,1278127;-0,9651512;0,261705;0;0;-0,05336552;-0,3085724;0;0;3,171603;23,34903
25,17397;4;-0,5233154;0,1330686;-0,9648502;0,2627954;0;0;-0,05336552;-0,3085724;0;0;3,240262;23,4193
25,17444;4;-0,5426066;0,1383459;-0,9645581;0,2638645;0;0;-0,05336552;-0,3085724;0;0;3,317017;23,49767
25,17475;4;-0,561892;0,1436443;-0,964269;0,2649203;0;0;-0,05336552;-0,3085724;0;0;3,401876;23,58415
25,17511;4;-0,5811717;0,1489634;-0,9639859;0,2659552;0;0;-0,05336552;-0,3085724;0;0;3,494851;23,67874
25,17546;4;-0,6004458;0,1543028;-0,9637058;0,2669699;0;0;-0,05336552;-0,3085724;0;0;3,59595;23,78145
25,17579;4;-0,6197143;0,1596622;-0,9634256;0,2679698;0;0;-0,05336552;-0,3085724;0;0;3,705184;23,8923
25,17611;4;-0,6389774;0,1650413;-0,9631544;0,2689548;0;0;-0,05336552;-0,3085724;0;0;3,822561;24,01129
25,25978;5;-0,6582351;0,1704397;-0,9628832;0,2699204;-0,3722716;-0,456252;-0,05336552;-0,3085724;0;0;3,948091;24,13844
25,26031;5;-0,6774874;0,1758572;-0,962615;0,2708748;0;0;-0,237176;-0,3746216;-0,1551103;-0,009482284;1,729134;13,4174
25,26072;5;-0,6967344;0,1812933;-0,9623528;0,2718046;0;0;-0,2402782;-0,3748112;-0,1551103;-0,009482284;1,790917;13,49844
25,2612;5;-0,7159762;0,1867478;-0,9620875;0,2727255;0;0;-0,2433804;-0,3750009;-0,1551103;-0,009482284;1,859542;13,5875
25,26172;5;-0,7352129;0,1922205;-0,9618372;0,2736345;0;0;-0,2464826;-0,3751905;-0,1551103;-0,009482284;1,935019;13,68456
25,30115;6;-0,7544445;0,1977109;-0,9615779;0,2745204;-0,7118044;-0,3782633;-0,2495848;-0,3753802;-0,1551103;-0,009482284;2,017356;13,78965
25,30152;6;-0,7736711;0,203219;-0,9613305;0,2754048;0;0;-0,4420825;-0,3764228;-0,3633516;-0,009661951;1,237563;9,500152
25,34496;7;-0,7928928;0,2087442;-0,9610862;0,2762601;-0,7993392;-0,1420292;-0,4493496;-0,376616;-0,3633516;-0,009661951;1,295012;9,58414
25,34542;7;-0,8121095;0,2142865;-0,9608328;0,2771154;0;0;-0,5634403;-0,3195521;-0,4941319;0,004515236;0,9350744;7,316274
25,34575;7;-0,8313214;0,2198456;-0,9605974;0,2779543;0;0;-0,573323;-0,3194618;-0,4941319;0,004515236;0,9836423;7,392632
25,38894;8;-0,8505285;0,2254211;-0,960353;0,2787754;-0,8221031;-0,005491108;-0,5832056;-0,3193715;-0,4941319;0,004515236;1,037771;7,476788
25,38961;8;-0,8697309;0,2310129;-0,9601206;0,2795897;0;0;-0,6544278;-0,2560638;-0,5814462;0,02453419;0,8035229;6,043921
25,43275;9;-0,8889287;0,2366207;-0,9598911;0,2803899;-0,8966638;-0,2380319;-0,6660567;-0,2555731;-0,5814462;0,02453419;0,8518271;6,124326
25,4331;9;-0,9081217;0,2422443;-0,9596497;0,2811804;0;0;-0,7284453;-0,2521573;-0,6599168;0,02561674;0,6954068;5,14666
25,46257;10;-0,9273103;0,2478834;-0,9594291;0,2819546;-0,8893121;0,01076226;-0,7416436;-0,2516449;-0,6599168;0,02561674;0,7407707;5,226649
25,46303;10;-0,9464943;0,2535379;-0,9591997;0,2827249;0;0;-0,7828956;-0,2117215;-0,7064423;0,04256324;0,6258721;4,514534
25,48527;11;-0,9656739;0,2592075;-0,9589821;0,2834797;-0,9192912;-0,0977971;-0,7970245;-0,2108702;-0,7064423;0,04256324;0,6695812;4,595933
25,50741;12;-0,984827;0,2649656;-0,9576529;0,2879053;-1,011917;-0,1301012;-0,8320287;-0,1948613;-0,7430152;0,05005863;0,5791337;4,052064
25,53192;13;-1,003954;0,2708104;-0,9563535;0,2922401;-1,012981;0,08307828;-0,8752195;-0,1861351;-0,7938738;0,05414665;0,5150121;3,634804
25,55637;14;-1,023055;0,2767401;-0,9550452;0,2964854;-1,029028;0,01726924;-0,9100932;-0,1555045;-0,8288367;0,07089446;0,4675643;3,30596
25,58219;15;-1,042129;0,282753;-0,9537041;0,3006443;-1,053608;-0,2422267;-0,941387;-0,1367146;-0,8565854;0,08143647;0,4313392;3,041392
25,58274;15;-1,061178;0,2888474;-0,9524465;0,3047198;0;0;-0,9712928;-0,1451753;-0,8812158;0,07489081;0,4030147;2,825078
25,61615;16;-1,080201;0,2950219;-0,951153;0,3087252;-1,044438;-0,09992811;-0,9889171;-0,1436775;-0,8812158;0,07489081;0,4356958;2,9019
25,64073;17;-1,099199;0,3012746;-0,9499013;0,3126353;-1,09316;-0,0531311;-1,011689;-0,1383552;-0,891447;0,07768836;0,4075209;2,715487
25,66769;18;-1,118171;0,3076041;-0,948596;0,3164753;-1,120104;0,02007537;-1,037681;-0,1296626;-0,9078192;0,08319718;0,3848042;2,559639
25,66833;18;-1,137118;0,3140089;-0,9473503;0,3202394;0;0;-1,063682;-0,1160135;-0,9236706;0,09293055;0,366184;2,428206
25,69087;19;-1,156039;0,3204875;-0,9460509;0,3239304;-1,156149;0,1169103;-1,082156;-0,1141549;-0,9236706;0,09293055;0,3971244;2,510442
25,71755;20;-1,174936;0,3270384;-0,9448528;0,3275454;-1,164806;0,2349323;-1,1076;-0,09401987;-0,9378228;0,1091583;0,3766715;2,392129
25,74012;21;-1,193808;0,3336602;-0,9435952;0,3310889;-1,206121;-0,03106357;-1,130965;-0,06688274;-0,9471619;0,1321877;0,3595597;2,290973
25,76469;22;-1,212655;0,3403515;-0,9423494;0,3345653;-1,237948;-0,1739969;-1,156373;-0,06180167;-0,96023;0,1345202;0,3450491;2,204023
25,76512;22;-1,231478;0,347111;-0,9411514;0,3379747;0;0;-1,182493;-0,06726412;-0,9741566;0,12645;0,3325938;2,12895
25,78734;23;-1,250277;0,3539374;-0,9399533;0,34132;-1,237082;0,1074538;-1,201976;-0,06473512;-0,9741566;0,12645;0,3604444;2,216367
25,8112;24;-1,269052;0,3608294;-0,9387493;0,3446013;-1,251221;0,004713997;-1,223258;-0,05007612;-0,9777316;0,1391575;0,3454567;2,144879
25,83586;25;-1,287804;0,3677857;-0,9375989;0,347814;-1,262766;0,1020903;-1,243744;-0,04368286;-0,9795665;0,1430294;0,3324718;2,082479
25,85653;26;-1,306531;0,3748051;-0,9363472;0,35097;-1,275441;0,204831;-1,263275;-0,0311623;-0,9794475;0,153615;0,321104;2,027808
25,8902;27;-1,325236;0,3818864;-0,9352505;0,354065;-1,284526;0,2160019;-1,282094;-0,01271921;-0,9779606;0,170791;0,3110571;1,979743
25,89056;27;-1,343917;0,3890283;-0,9340525;0,3570959;0;0;-1,299929;0,005246437;-0,9746612;0,1873384;0,3021002;1,937348
25,91976;28;-1,362576;0,3962299;-0,9329498;0,3600791;-1,276425;0,3386814;-1,319422;0,008993204;-0,9746612;0,1873384;0,3260048;2,02828
25,94975;29;-1,381211;0,40349;-0,9317517;0,3630057;-1,365915;0,1772396;-1,332361;0,03429854;-0,9624105;0,2125363;0,3146285;1,984274
25,95029;29;-1,399825;0,4108074;-0,9306967;0,3658697;0;0;-1,353062;0,04754075;-0,9650903;0,2231537;0,3045007;1,94494
25,9929;30;-1,418416;0,4181812;-0,9295523;0,3686905;-1,388937;0,05070046;-1,372363;0,05200382;-0,9650903;0,2231537;0,3276833;2,039467
25,99539;30;-1,436985;0,4256102;-0,9284496;0,3714502;0;0;-1,391379;0,05608306;-0,9645754;0,2226938;0,3152601;1,99692
26,03733;31;-1,455532;0,4330935;-0,9273469;0,3741637;-1,425421;-0,01763375;-1,41067;0,06053694;-0,9645754;0,2226938;0,3385734;2,095206
26,03861;31;-1,474058;0,4406301;-0,9263039;0,376831;0;0;-1,429471;0,05934882;-0,9637207;0,2158895;0,3239966;2,048541
26,0899;32;-1,492562;0,4482191;-0,9252012;0,3794491;-1,453151;0,4474449;-1,448745;0,0636666;-0,9637207;0,2158895;0,3472125;2,149875
26,09033;32;-1,511045;0,4558595;-0,9241462;0,3820211;0;0;-1,466381;0,09452666;-0,960952;0,2479112;0,3307155;2,098421
26,09064;32;-1,529507;0,4635503;-0,9231031;0,3845394;0;0;-1,4856;0,09948488;-0,960952;0,2479112;0,3536492;2,202114
26,11713;33;-1,547948;0,4712907;-0,9220481;0,3870204;-1,500082;0,3989766;-1,504819;0,1044431;-0,960952;0,2479112;0,3777703;2,310672
26,14502;34;-1,566369;0,4790799;-0,9210527;0,3894597;-1,565891;0,4232442;-1,5212;0,1310507;-0,9563904;0,273782;0,3553435;2,242871
26,14557;34;-1,58477;0,4869169;-0,9200454;0,3918499;0;0;-1,543194;0,1573742;-0,9609229;0,2985721;0,3362918;2,181369
26,17179;35;-1,60315;0,494801;-0,9190023;0,3942057;-1,58712;0,3784671;-1,562412;0,1633457;-0,9609229;0,2985721;0,3580858;2,287371
26,19571;36;-1,621511;0,5027313;-0,9180486;0,3965154;-1,59883;0,2857835;-1,582249;0,184797;-0,961871;0,3167703;0,338004;2,220399
26,2233;37;-1,639852;0,5107071;-0,9170532;0,3987879;-1,611641;0,2256093;-1,601202;0,1979456;-0,9614419;0,3247293;0,3208061;2,15947
26,22364;37;-1,658173;0,5187277;-0,9160459;0,401032;0;0;-1,619535;0,2059247;-0,9601066;0,3264526;0,3059102;2,10379
26,2547;38;-1,676475;0,5267922;-0,9151042;0,4032254;-1,642913;0,3829558;-1,638737;0,2124537;-0,9601066;0,3264526;0,3245694;2,203467
26,28509;39;-1,694758;0,5349;-0,9141505;0,4053891;-1,656733;0,4001539;-1,656393;0,2306925;-0,9578638;0,3398601;0,3086901;2,142376
26,28559;39;-1,713022;0,5430503;-0,9131968;0,407514;0;0;-1,673701;0,2488028;-0,9552149;0,3527189;0,294869;2,086454
26,31965;40;-1,731267;0,5512425;-0,9122491;0,4096091;-1,653817;0,4113182;-1,692805;0,2558571;-0,9552149;0,3527189;0,3121496;2,183155
